"AMR.genotypes","SNP_cluster_group","USregion","season","collection.yr","min_SNP","Isolation_Group"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2014",6,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2014",11,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2014",14,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",22,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2014",18,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",2,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2014",8,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","summer","2014",4,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",7,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2011",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2011",9,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",7,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2014",9,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",0,"Vegetables"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",10,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2013",1,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",1,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",2,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2014",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",3,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",1,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2015",14,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",0,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",5,"Vegetables"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",26,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2015",5,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",9,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2015",9,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2013",26,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",10,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",2,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",19,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",5,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",5,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",11,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2011",3,"Vegetables"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2011",6,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2011",3,"Vegetables"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",26,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",2,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2011",1,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2011",1,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",23,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",6,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",0,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",0,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2011",7,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",3,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2011",25,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2012",9,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",29,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",11,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",17,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",26,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",27,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","summer","2015",12,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",0,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",7,"Aquatic_Animal"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2011",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",1,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",2,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",1,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2012",1,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",8,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",0,"Poultry"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2015",8,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",9,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2015",1,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",9,"Food/RTE_Food/Food Producing Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",9,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","winter","2012",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",3,"Meat"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",1,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",10,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",6,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",8,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2010",17,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2016",24,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",24,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2016",20,"Vegetables"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",13,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",5,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",7,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",2,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2015",0,"Environment"
