"Isolation_Group","Min.diff.new","collection.mon","collection.yr","AMR.genotypes","state","USregion","season","SNP.cluster.group","cc","weights"
"Environment",2,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",3,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,4,2012,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",6,5,2012,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",0,2,2013,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","winter","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,2,2013,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","winter","PDS000000366.504",1,1.0000000000029
"Land_Animal",0,2,2013,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","winter","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",7,5,2011,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",3,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,4,2012,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","spring","PDS000000366.504",1,1.0000000000029
"Environment",25,4,2011,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","spring","PDS000000366.504",1,1.0000000000029
"Environment",9,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:MN","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",4,10,2015,"fosX=COMPLETE,lin=COMPLETE","USA:PA","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",29,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",11,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",8,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",17,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",26,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",27,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",8,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Clinical/Human",12,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA","other","summer","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NJ","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:TX","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",3,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:TX","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",3,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:TX","south","autumn","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NJ","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",7,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NJ","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,8,2011,"fosX=COMPLETE,lin=COMPLETE","USA:CT","northeast","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,3,2012,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",2,3,2012,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,3,2012,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,4,2012,"fosX=COMPLETE,lin=COMPLETE","USA:CT","northeast","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",0,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:PA","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","autumn","PDS000000366.504",1,1.0000000000029
"Clinical/Human",8,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA","other","autumn","PDS000000366.504",1,1.0000000000029
"Environment",1,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",1,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",2,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",1,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",1,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",2,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",9,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",2,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",2,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,11,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,1,2015,"fosX=COMPLETE,lin=COMPLETE","USA:RI","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,5,2011,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",0,5,2011,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",3,5,2011,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",4,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",4,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",3,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",3,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",4,12,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",5,1,2016,"fosX=COMPLETE,lin=COMPLETE","USA:MA","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",9,1,2016,"fosX=COMPLETE,lin=COMPLETE","USA:MA","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",4,2,2012,"fosX=COMPLETE,lin=COMPLETE","USA:MN","midwest","winter","PDS000000366.504",1,1.0000000000029
"Environment",6,1,2016,"fosX=COMPLETE,lin=COMPLETE","USA:NJ","northeast","winter","PDS000000366.504",1,1.0000000000029
